"","Fit","Com","BF","2.5%","97.5%","rsq","setting"
"1",6.32563076524445,0.479979890278641,13.274588055175,1.18022715326894,18.9932939497287,"0","N = 400, 1 predictor"
"2",1.09756255715472,0.479979912237913,2.35506042227791,0.000155728827346769,15.5539708313701,"0.02","N = 400, 1 predictor"
"3",1.84614308260403e-05,0.47997993561863,4.52036029461429e-05,3.94954217774919e-22,5.87690308229428e-05,"0.13","N = 400, 1 predictor"
"4",5.925204439255e-13,0.479979905569078,1.94284205036386e-12,3.46881330684144e-47,1.31495162280418e-14,"0.26","N = 400, 1 predictor"
"5",25.1051495757439,2.91680469919584,8.74151207318538,0.245846031717802,18.433497019002,"0","N = 400, 2 predictors"
"6",6.36914472361894,2.91679697189566,2.28743069681556,0.000126345981113444,13.7928545756742,"0.02","N = 400, 2 predictors"
"7",0.000173175250551639,2.91680442889498,6.93901106234658e-05,3.24549795587088e-21,0.000241383203487733,"0.13","N = 400, 2 predictors"
"8",7.6302653203921e-12,2.91680271855361,3.32184378840963e-12,4.45639868139681e-45,3.91524756241269e-13,"0.26","N = 400, 2 predictors"
"9",15.7870020936701,1.21341144622736,13.0495369337267,1.11695761093628,18.9783472183674,"0","N = 3200, 1 predictor"
"10",0.000796843501125676,1.21341112720494,0.000704616766648761,1.68712643984301e-15,0.00361821949545171,"0.02","N = 3200, 1 predictor"
"11",5.63159256933763e-40,1.21341102014995,5.53892122805758e-40,2.23719331332394e-100,1.24440359795784e-45,"0.13","N = 3200, 1 predictor"
"12",5.99221252744035e-99,1.21341112584716,6.15247900900059e-99,2.7810942389345e-234,2.05875472642702e-115,"0.26","N = 3200, 1 predictor"
"13",155.903410635881,17.1262400869293,9.17977285782199,0.27671345681345,18.4737590143572,"0","N = 3200, 2 predictors"
"14",0.0296328243371139,17.1262411501073,0.001769459998304,1.78127131294013e-18,0.000725312911085338,"0.02","N = 3200, 2 predictors"
"15",5.39052537593904e-36,17.126246682553,3.21393237641961e-37,3.33882079116986e-106,6.68947015638348e-49,"0.13","N = 3200, 2 predictors"
"16",8.17044397622935e-99,17.1262337223774,6.73451788464251e-100,7.96787147877423e-252,9.24626916241688e-124,"0.26","N = 3200, 2 predictors"
